Date,Action,Prix,Nombre d'actions,Investissement
2022-10-26 00:00:00-04:00,Acheter,129.55,7719.03,999999.99
2022-10-27 00:00:00-04:00,Vendre,97.74,7719.03,1754457.72
2022-11-14 00:00:00-05:00,Acheter,113.99,15391.33,1754457.71
2022-12-29 00:00:00-05:00,Vendre,120.01,15391.33,3601571.22
2022-12-30 00:00:00-05:00,Acheter,120.09,29990.6,3601571.21
