Date,Action,Prix,Nombre d'actions,Investissement
2022-10-19 00:00:00-04:00,Acheter,142.45,7020.01,999999.99
2022-11-04 00:00:00-04:00,Vendre,137.25,7020.01,1963495.94
2022-11-15 00:00:00-05:00,Acheter,148.81,13194.65,1963495.93
2022-11-29 00:00:00-05:00,Vendre,140.02,13194.65,3811010.89
