Date,Action,Prix,Nombre d'actions,Investissement
2022-10-18 00:00:00-04:00,Acheter,281.67,3550.25,999999.99
2022-11-07 00:00:00-05:00,Vendre,290.19,3550.25,2030248.14
2022-11-11 00:00:00-05:00,Acheter,309.72,6555.11,2030248.13
2022-12-06 00:00:00-05:00,Vendre,307.78,6555.11,4047779.36
2022-12-28 00:00:00-05:00,Acheter,303.43,13340.08,4047779.35
