Date,Action,Prix,Nombre d'actions,Investissement
2022-10-27 00:00:00-04:00,Acheter,225.09,4442.67,999999.99
2022-11-04 00:00:00-04:00,Vendre,207.47,4442.67,1921720.18
2022-12-01 00:00:00-05:00,Acheter,194.7,9870.16,1921720.17
2022-12-08 00:00:00-05:00,Vendre,173.44,9870.16,3633600.74
